	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YER062C	gene-YER062C	16730.833340807	7.90150466410334	0.408337417877798	19.3504301054967	2.02148224037039e-83	1.18256711061668e-79
gene-YDR536W	gene-YDR536W	10088.9133996504	7.87601029538891	0.41133735663034	19.1473255915993	1.01886596460305e-81	2.98018294646391e-78
gene-YHR094C	gene-YHR094C	8495.90710807806	7.88348510180627	0.431791867819457	18.2576043907862	1.80018069436168e-74	3.51035235400528e-71
gene-YNL065W	gene-YNL065W	2109.69321444747	7.78705489066579	0.466802696882965	16.6816835949389	1.7812716321824e-62	2.60510976206676e-59
gene-YKL120W	gene-YKL120W	1727.25565200228	7.27100352372179	0.48235498440905	15.0739678426455	2.40240981870496e-51	2.8108194878848e-48
gene-YJL122W	gene-YJL122W	1291.78258807282	6.49681507018703	0.432633135491906	15.0169151116919	5.68945860222981e-51	5.52820257483252e-48
gene-YLR264W	gene-YLR264W	1388.64949565899	6.48555133798531	0.432170734124938	15.0069193165458	6.61494325193635e-51	5.52820257483252e-48
gene-YGR159C	gene-YGR159C	8021.9834534548	6.76892166747708	0.451679007081573	14.9861329868152	9.04695260043561e-51	6.61558408906854e-48
gene-YNL112W	gene-YNL112W	5329.40267024237	7.3653942135479	0.493575943363169	14.9225145848093	2.3523857493547e-50	1.52905073708056e-47
gene-YOR271C	gene-YOR271C	1052.40202515952	6.84585283843064	0.472776007993418	14.4801189626483	1.61816871796436e-47	9.4662870000915e-45
gene-YJL108C	gene-YJL108C	955.219803374772	5.99774103441389	0.42791214617054	14.0162906991276	1.23924583942323e-44	6.59053469147809e-42
gene-YJL107C	gene-YJL107C	845.566272923275	6.1736646054159	0.443069563256116	13.9338494841435	3.94506337037608e-44	1.92321839305834e-41
gene-YOR360C	gene-YOR360C	1923.23735885964	5.66050079380061	0.406894026148218	13.9114866034889	5.39464093885715e-44	2.42758842248572e-41
gene-YOL124C	gene-YOL124C	594.128501268753	7.80582747780633	0.562859691673641	13.8681586073361	9.87802013666753e-44	4.12760127139322e-41
gene-YOL136C	gene-YOL136C	1162.05293168492	5.7109182710921	0.41639890356887	13.7150175520276	8.25464121643925e-43	3.21931007441131e-40
gene-YER127W	gene-YER127W	730.932134629958	5.98231518570986	0.441287215031739	13.5565114554238	7.25031516547065e-42	2.6508964823752e-39
gene-YLR180W	gene-YLR180W	1931.55308295878	6.78231429518742	0.504063778946185	13.45527010365	2.86689792538312e-41	9.86550168440662e-39
gene-YCR072C	gene-YCR072C	701.069580964293	5.89651847805552	0.439062812685599	13.429783410689	4.04593099672303e-41	1.31492757393498e-38
gene-YNL141W	gene-YNL141W	2900.94610231965	6.47451937506634	0.482327264061481	13.4234986439436	4.40419730075085e-41	1.35602916891539e-38
gene-YML043C	gene-YML043C	522.207439480497	6.41566566241901	0.481898837484899	13.3133038790948	1.93722001293348e-40	5.66636853783044e-38
gene-YMR300C	gene-YMR300C	1596.71697435085	5.81653565747142	0.43956079461891	13.2326079320023	5.68789546691492e-40	1.58448516578344e-37
gene-YEL026W	gene-YEL026W	2038.51883811808	5.36945375315773	0.409718700727184	13.1052201025431	3.07369237035337e-39	8.17322743934875e-37
gene-YOR359W	gene-YOR359W	477.961065076228	6.35850051614738	0.486303981840208	13.0751561854097	4.56625099711014e-39	1.16141601448236e-36
gene-YHR066W	gene-YHR066W	1305.75788344936	5.58462629844669	0.428110606287841	13.0448211663597	6.80164026031681e-39	1.65789981345222e-36
gene-YGR079W	gene-YGR079W	1514.39156193895	5.33002954006298	0.40913933187462	13.0274190839622	8.54493816461762e-39	1.99951553052052e-36
gene-YIR012W	gene-YIR012W	1539.40196476847	5.33354119800629	0.414603409333211	12.8642000474236	7.15791271115901e-38	1.61053036001078e-35
gene-YJL148W	gene-YJL148W	1277.95411568407	5.22815142111468	0.407588922112881	12.8270204057871	1.15729894523183e-37	2.50748104800229e-35
gene-YOL041C	gene-YOL041C	1901.47880441184	5.69116527692264	0.443847698267671	12.8223381559376	1.2293651937937e-37	2.56849513703326e-35
gene-YLR327C	gene-YLR327C	14461.6434807875	-5.02336016709789	0.392476325145949	-12.7991418723916	1.65772927562957e-37	3.34404009049413e-35
gene-YOL151W	gene-YOL151W	10485.2084277833	5.98256337671678	0.469734673192098	12.7360480674379	3.72805921149604e-37	7.26971546241727e-35
gene-YBL028C	gene-YBL028C	858.097570518211	5.3932296377105	0.424125030468103	12.7161314477432	4.81095080248928e-37	9.07872974018138e-35
gene-YOL080C	gene-YOL080C	383.032517954929	6.25369794522238	0.492139347089447	12.7071691832959	5.39523676355815e-37	9.86316720837975e-35
gene-YDL063C	gene-YDL063C	1079.00746983862	5.55353162459223	0.43713861907004	12.7042804783679	5.59819483460289e-37	9.92407266134148e-35
gene-YML018C	gene-YML018C	802.369460515425	5.83938231202753	0.461021143175534	12.6661919924227	9.10270856043137e-37	1.56620132583893e-34
gene-YHR196W	gene-YHR196W	1195.98449098815	5.1598859947038	0.408016047617976	12.6462819902	1.1729555903466e-36	1.96051148672217e-34
gene-YNR060W	gene-YNR060W	1990.49715491516	6.43377497240922	0.510839613892585	12.5945106789664	2.26359308137728e-36	3.67833875723809e-34
gene-YPL212C	gene-YPL212C	1385.40176067081	5.22897666696037	0.418696879031488	12.4886927245692	8.60560233128985e-36	1.36061550373096e-33
gene-YBL039C	gene-YBL039C	2044.4788785133	6.18614249685679	0.496558471229336	12.4580343610727	1.26448955576958e-35	1.94664839506632e-33
gene-YLR264C-A	gene-YLR264C-A	400.258001536779	6.38458400716771	0.513790309586497	12.426439129041	1.87815787813492e-35	2.81723681720238e-33
gene-YJR063W	gene-YJR063W	779.821321081152	5.28469321940381	0.425417020325147	12.4223831368212	1.97586665348439e-35	2.88970498072092e-33
gene-YDR037W	gene-YDR037W	4854.08516262239	5.2150250689465	0.423767832894731	12.3063259269185	8.37496700650227e-35	1.1949648045863e-32
gene-YNL182C	gene-YNL182C	617.699160003778	5.51402425183322	0.453138833672978	12.1685096091601	4.57357087847536e-34	6.37033086644782e-32
gene-YDR449C	gene-YDR449C	839.755742002521	5.18102309978342	0.42711898746768	12.1301633778935	7.31034448982907e-34	9.94546866639537e-32
gene-YMR093W	gene-YMR093W	864.336779278133	5.18925432305789	0.429506019130514	12.0819129230434	1.31621499068903e-33	1.74996765807519e-31
gene-YLR224W	gene-YLR224W	721.553706370556	5.09880213767674	0.422207718691375	12.0765251603651	1.40534141483855e-33	1.82694383929011e-31
gene-YJL069C	gene-YJL069C	727.924606118676	5.18423639342963	0.430558562511707	12.0407230161371	2.17044970235283e-33	2.76024581712262e-31
gene-YKR097W	gene-YKR097W	21608.7451027107	-4.70597915746569	0.392725306069569	-11.982877305676	4.3689237325791e-33	5.43791570969952e-31
gene-YBR105C	gene-YBR105C	2415.04595446052	4.92116727668424	0.4149660654856	11.859204127753	1.92798982605984e-32	2.34973760051043e-30
gene-YNL248C	gene-YNL248C	1315.20654445542	5.28957216650011	0.44862558704997	11.7906163161196	4.36336167917308e-32	5.20931955574745e-30
gene-YER049W	gene-YER049W	1370.20698880463	5.21712926040839	0.443269559134708	11.7696538210126	5.59536469448461e-32	6.54657669254699e-30
gene-YKL078W	gene-YKL078W	495.023371871565	6.0788464848816	0.517202655683105	11.7533164574587	6.79006044480381e-32	7.78859874551026e-30
gene-YGR128C	gene-YGR128C	841.044656968506	4.91157809936715	0.422162539087064	11.6343295404385	2.75748303166343e-31	3.10216841062135e-29
gene-YJL025W	gene-YJL025W	239.393889654237	6.30700510489702	0.544439629571977	11.5843975389069	4.94430552870841e-31	5.45739383829136e-29
gene-YPL068C	gene-YPL068C	278.560198278407	6.29280446759077	0.544263082354655	11.5620637732144	6.41482886868448e-31	6.94939794107486e-29
gene-YNL075W	gene-YNL075W	802.69932160725	4.95731445455715	0.428965861886155	11.5564311639158	6.8496755930743e-31	7.2855640399063e-29
gene-YKR092C	gene-YKR092C	2180.52960105873	5.46581566160496	0.475399528632891	11.4973098044986	1.36091193609955e-30	1.39672540810217e-28
gene-YLR413W	gene-YLR413W	655.790301287768	5.39591261941297	0.469269052799045	11.4985477674865	1.34153557334446e-30	1.39672540810217e-28
gene-YIL053W	gene-YIL053W	34470.6335892868	5.2193484844097	0.45646930167521	11.4341719481575	2.82216191112982e-30	2.84649089312232e-28
gene-YKL029C	gene-YKL029C	5049.54957075094	5.549316044681	0.485740530975723	11.42444513233	3.15665363311594e-30	3.12990233114038e-28
gene-YGL035C	gene-YGL035C	649.903677285727	5.33270239188753	0.467156731342607	11.4152318357082	3.50966891028538e-30	3.42192718752825e-28
gene-YOR226C	gene-YOR226C	580.439509215053	6.33688829100266	0.556731064650568	11.3823148973733	5.12217604784969e-30	4.912250799987e-28
gene-YGL120C	gene-YGL120C	1323.27290482116	5.14043203727662	0.452661793259109	11.3560104118047	6.92347987401433e-30	6.5326382682232e-28
gene-YHR085W	gene-YHR085W	377.957450566125	5.59855415613839	0.493292884883531	11.3493511212112	7.47151007188785e-30	6.93783078103872e-28
gene-YOR004W	gene-YOR004W	599.988286659865	4.87383133483192	0.430769985406539	11.3142314923177	1.11575696310153e-29	1.01987159908499e-27
gene-YLR435W	gene-YLR435W	394.348402045118	5.34712411864836	0.476177095578453	11.2292761837962	2.9286782247927e-29	2.63581040231343e-27
gene-YPL081W	gene-YPL081W	1679.06416808143	4.7590258338786	0.424017200508824	11.2236622197584	3.12073523084233e-29	2.76610622733752e-27
gene-YER073W	gene-YER073W	875.466811565719	6.1788144973378	0.551589326130639	11.2018384051805	3.99358830218723e-29	3.48693903996944e-27
gene-YNL110C	gene-YNL110C	1231.38035679946	4.65048898283789	0.415406652831507	11.1950276942824	4.31267469656199e-29	3.71016867277759e-27
gene-YGR208W	gene-YGR208W	416.215823511269	6.124929637471	0.547432308199039	11.1884694157365	4.64380412030771e-29	3.93713827591306e-27
gene-YMR081C	gene-YMR081C	2808.51950705039	-4.7917157521378	0.428562943912716	-11.1808914424335	5.05793451885506e-29	4.22698813361459e-27
gene-YNL299W	gene-YNL299W	234.934905647426	5.85196678235629	0.524736333558761	11.1522042749894	6.98541367358747e-29	5.75558732260376e-27
gene-YPR137W	gene-YPR137W	907.381314222152	4.62230197786872	0.415973385419968	11.112013748673	1.09658271664825e-28	8.909734572767e-27
gene-YNR053C	gene-YNR053C	1315.06604017704	4.54080201034511	0.40930783061579	11.0938557014989	1.3436855470359e-28	1.07678910276164e-26
gene-YFL034C-A	gene-YFL034C-A	1134.87733145943	5.38583017413622	0.485551223502596	11.0921977197065	1.3688286973199e-28	1.08211457828668e-26
gene-YIL079C	gene-YIL079C	350.980268351817	5.18646064491718	0.468294511982458	11.0752112446525	1.65489415126533e-28	1.29081743798696e-26
gene-YNL113W	gene-YNL113W	1030.63735549035	4.60328754128531	0.416420728223053	11.0544149925687	2.08692912606794e-28	1.58552407629837e-26
gene-YKR081C	gene-YKR081C	1338.40064812209	4.54218599238504	0.410874288436974	11.0549287707055	2.07501477516648e-28	1.58552407629837e-26
gene-YHR052W	gene-YHR052W	1667.91207680897	4.50870333494609	0.408283754982308	11.0430632615825	2.36819301480083e-28	1.77614476110062e-26
gene-YDR342C	gene-YDR342C	2152.58109201004	-4.50532581925789	0.409605470055159	-10.9991837234283	3.85606575766079e-28	2.85544109902729e-26
gene-YHR208W	gene-YHR208W	5097.25041274188	4.82426589633304	0.440174282087657	10.9598995049246	5.95654761449044e-28	4.35572544309613e-26
gene-YHR022C	gene-YHR022C	392.561718887759	6.19155458296438	0.565304772831826	10.9525956272199	6.45703423660526e-28	4.66341361532602e-26
gene-YPL030W	gene-YPL030W	463.137602698655	5.04691952109181	0.462990588307913	10.9006957129231	1.14379356529677e-27	8.15999067925131e-26
gene-YOR108W	gene-YOR108W	894.560168852713	5.2612209560959	0.483916533608809	10.8721661499357	1.56441778334218e-27	1.10263181115081e-25
gene-YLR022C	gene-YLR022C	658.936769451304	4.57530095998179	0.421057320113529	10.8662187816807	1.66978538182428e-27	1.1628862480562e-25
gene-YPL093W	gene-YPL093W	3491.42567239421	4.59441283507019	0.42354348769544	10.8475586770771	2.04823105475626e-27	1.40966490239107e-25
gene-YLL011W	gene-YLL011W	916.240541099656	4.54109402441126	0.42042013935926	10.8013237218657	3.39276576406581e-27	2.30786973485872e-25
gene-YLR186W	gene-YLR186W	1341.9697942386	5.31595700339452	0.492458060212837	10.7947405736379	3.64490434015635e-27	2.45088395286376e-25
gene-YAL012W	gene-YAL012W	1373.86830265327	4.74796585701569	0.442846868367395	10.7214619683766	8.07172618120358e-27	5.36586342727738e-25
gene-YLL034C	gene-YLL034C	583.697457785759	4.57206612304986	0.426722587099437	10.7143757121637	8.71431781907732e-27	5.72795047658453e-25
gene-YOR233W	gene-YOR233W	298.276700774486	5.19567432346992	0.486081658626359	10.6888919408163	1.14733483222854e-26	7.45767640948551e-25
gene-YNL124W	gene-YNL124W	792.726640489725	5.08646143191487	0.476865005795277	10.6664598368506	1.46086680241355e-26	9.39128658694423e-25
gene-YGR264C	gene-YGR264C	1302.09168669389	4.4087090993775	0.413523870612346	10.661317067015	1.5439530032672e-26	9.81752724903597e-25
gene-YKL023C-A	gene-YKL023C-A	403.724994065936	4.66365262857848	0.43764763356876	10.6561815279318	1.63159509094328e-26	1.02632594430303e-24
gene-YOR375C	gene-YOR375C	6564.2517314977	4.65902837332819	0.437488981507423	10.6494759188561	1.75349450680622e-26	1.09127051753366e-24
gene-YDR101C	gene-YDR101C	1447.33287152994	4.59535647396812	0.431839635053448	10.6413494754815	1.91337837585271e-26	1.17823826302509e-24
gene-YCR021C	gene-YCR021C	60713.2779355177	-4.44908439476516	0.418420683296753	-10.6330412725075	2.09177766249837e-26	1.27467701308494e-24
gene-YNL117W	gene-YNL117W	7953.4855891732	-4.78947473002042	0.451337854819847	-10.6117283956431	2.62841281023021e-26	1.58517679792234e-24
gene-YOR145C	gene-YOR145C	2259.08165769498	4.19001330792664	0.395876053606633	10.5841544840954	3.52952851048745e-26	2.10691242717873e-24
gene-YAL025C	gene-YAL025C	1354.27535308397	4.50193061952549	0.425395153018959	10.5829382106872	3.57565986520749e-26	2.11288992034988e-24
gene-YCL054W	gene-YCL054W	964.065939539925	4.40266579931373	0.416209526674335	10.5780034265256	3.76904064558856e-26	2.20488877766931e-24
gene-YKR024C	gene-YKR024C	642.157531656967	4.8374400141869	0.458611959192213	10.5480023301343	5.18885784494429e-26	3.00542756365585e-24
gene-YNR001C	gene-YNR001C	5097.28108152431	-4.34524942988815	0.41205154686877	-10.5454025422504	5.33439273159113e-26	3.05943112547138e-24
gene-YPR060C	gene-YPR060C	422.654552322871	5.11335025660794	0.485711858116103	10.5275384390258	6.44990788407221e-26	3.66329719629344e-24
gene-YCL036W	gene-YCL036W	482.532121778067	4.82338540015502	0.46034431425224	10.4777777216384	1.09281422782907e-25	6.14708003153852e-24
gene-YER056C	gene-YER056C	4203.37995021228	4.25017494407092	0.405835673549434	10.4726499444934	1.15367415382679e-25	6.42761314274928e-24
gene-YGR187C	gene-YGR187C	803.409930485735	4.55068711650139	0.43544973640782	10.4505451169672	1.45685436556036e-25	8.04018682880012e-24
gene-YJR124C	gene-YJR124C	302.999295386841	5.29353384987248	0.507689901747241	10.4267069950663	1.87266086491289e-25	1.02383794950845e-23
gene-YDL167C	gene-YDL167C	521.302480040666	4.49176361633715	0.431199688501864	10.4168990287147	2.07612163447767e-25	1.12456588534207e-23
gene-YML080W	gene-YML080W	288.741522221146	5.03258154888335	0.484430247651917	10.3886608511273	2.79246185483397e-25	1.49870659181456e-23
gene-YBL081W	gene-YBL081W	357.196253058789	4.72854066195985	0.455442243807448	10.3823058274739	2.9847758280856e-25	1.58735805402734e-23
gene-YOR078W	gene-YOR078W	905.057384516189	4.23947561917747	0.408378399042161	10.3812435454986	3.01817855609145e-25	1.5906616714536e-23
gene-YHR169W	gene-YHR169W	483.291666939871	4.45699498728275	0.429532485158617	10.376386283419	3.17569286220699e-25	1.65873243249205e-23
gene-YLR363W-A	gene-YLR363W-A	425.889321536134	4.66200906824113	0.44964310074476	10.368243303454	3.45823552157727e-25	1.79032546913514e-23
gene-YDR321W	gene-YDR321W	470.347710922825	4.75793068651243	0.459412784797894	10.3565482806613	3.90811612075214e-25	2.00548064091228e-23
gene-YBR195C	gene-YBR195C	207.262381761232	5.21833707625306	0.50433022017647	10.347064021718	4.31516040964409e-25	2.19510333881895e-23
